br-redni-zenski-mnozina-00-99-001	Нулте.
br-redni-zenski-mnozina-00-99-129	Седамдесет и четврте.
br-redni-zenski-mnozina-00-99-130	Седамдесет и пете.
br-redni-zenski-mnozina-00-99-131	Седамдесет и шесте.
br-redni-zenski-mnozina-00-99-132	Седамдесет и седме.
br-redni-zenski-mnozina-00-99-133	Седамдесет и осме.
br-redni-zenski-mnozina-00-99-134	Седамдесет и девете.
br-redni-zenski-mnozina-00-99-135	Осамдесете.
br-redni-zenski-mnozina-00-99-136	Осамдесет прве.
br-redni-zenski-mnozina-00-99-137	Осамдесет друге.
br-redni-zenski-mnozina-00-99-138	Осамдесет треће.
br-redni-zenski-mnozina-00-99-139	Осамдесет четврте.
br-redni-zenski-mnozina-00-99-140	Осамдесет пете.
br-redni-zenski-mnozina-00-99-141	Осамдесет шесте.
br-redni-zenski-mnozina-00-99-142	Осамдесет седме.
br-redni-zenski-mnozina-00-99-143	Осамдесет осме.
br-redni-zenski-mnozina-00-99-144	Осамдесет девете.
br-redni-zenski-mnozina-00-99-145	Осамдесет и прве.
br-redni-zenski-mnozina-00-99-146	Осамдесет и друге.
br-redni-zenski-mnozina-00-99-147	Осамдесет и треће.
br-redni-zenski-mnozina-00-99-148	Осамдесет и четврте.
br-redni-zenski-mnozina-00-99-149	Осамдесет и пете.
br-redni-zenski-mnozina-00-99-150	Осамдесет и шесте.
br-redni-zenski-mnozina-00-99-151	Осамдесет и седме.
br-redni-zenski-mnozina-00-99-152	Осамдесет и осме.
br-redni-zenski-mnozina-00-99-153	Осамдесет и девете.
br-redni-zenski-mnozina-00-99-154	Деведесете.
br-redni-zenski-mnozina-00-99-155	Деведесет прве.
br-redni-zenski-mnozina-00-99-156	Деведесет друге.
br-redni-zenski-mnozina-00-99-157	Деведесет треће.
br-redni-zenski-mnozina-00-99-158	Деведесет четврте.
br-redni-zenski-mnozina-00-99-159	Деведесет пете.
br-redni-zenski-mnozina-00-99-160	Деведесет шесте.
br-redni-zenski-mnozina-00-99-161	Деведесет седме.
br-redni-zenski-mnozina-00-99-162	Деведесет осме.
br-redni-zenski-mnozina-00-99-163	Деведесет девете.
br-redni-zenski-mnozina-00-99-164	Деведесет и прве.
br-redni-zenski-mnozina-00-99-165	Деведесет и друге.
br-redni-zenski-mnozina-00-99-166	Деведесет и треће.
br-redni-zenski-mnozina-00-99-167	Деведесет и четврте.
br-redni-zenski-mnozina-00-99-168	Деведесет и пете.
br-redni-zenski-mnozina-00-99-169	Деведесет и шесте.
br-redni-zenski-mnozina-00-99-170	Деведесет и седме.
br-redni-zenski-mnozina-00-99-171	Деведесет и осме.
br-redni-zenski-mnozina-00-99-172	Деведесет и девете.
