br-00-99-brojni-pridevi-001	Двоја.
br-00-99-brojni-pridevi-110	Седамдесет петора.
br-00-99-brojni-pridevi-111	Седамдесет шестора.
br-00-99-brojni-pridevi-112	Седамдесет седмора.
br-00-99-brojni-pridevi-113	Седамдесет осмора.
br-00-99-brojni-pridevi-114	Седамдесет деветора.
br-00-99-brojni-pridevi-115	Седамдесет и двоја.
br-00-99-brojni-pridevi-116	Седамдесет и троја.
br-00-99-brojni-pridevi-117	Седамдесет и четвора.
br-00-99-brojni-pridevi-118	Седамдесет и петора.
br-00-99-brojni-pridevi-119	Седамдесет и шестора.
br-00-99-brojni-pridevi-120	Седамдесет и седмора.
br-00-99-brojni-pridevi-121	Седамдесет и осмора.
br-00-99-brojni-pridevi-122	Седамдесет и деветора.
br-00-99-brojni-pridevi-123	Осамдесетора.
br-00-99-brojni-pridevi-124	Осамдесет двоја.
br-00-99-brojni-pridevi-125	Осамдесет троја.
br-00-99-brojni-pridevi-126	Осамдесет четвора.
br-00-99-brojni-pridevi-127	Осамдесет петора.
br-00-99-brojni-pridevi-128	Осамдесет шестора.
br-00-99-brojni-pridevi-129	Осамдесет седмора.
br-00-99-brojni-pridevi-130	Осамдесет осмора.
br-00-99-brojni-pridevi-131	Осамдесет деветора.
br-00-99-brojni-pridevi-132	Осамдесет и двоја.
br-00-99-brojni-pridevi-133	Осамдесет и троја.
br-00-99-brojni-pridevi-134	Осамдесет и четвора.
br-00-99-brojni-pridevi-135	Осамдесет и петора.
br-00-99-brojni-pridevi-136	Осамдесет и шестора.
br-00-99-brojni-pridevi-137	Осамдесет и седмора.
br-00-99-brojni-pridevi-138	Осамдесет и осмора.
br-00-99-brojni-pridevi-139	Осамдесет и деветора.
br-00-99-brojni-pridevi-140	Деведесетора.
br-00-99-brojni-pridevi-141	Деведесет двоја.
br-00-99-brojni-pridevi-142	Деведесет троја.
br-00-99-brojni-pridevi-143	Деведесет четвора.
br-00-99-brojni-pridevi-144	Деведесет петора.
br-00-99-brojni-pridevi-145	Деведесет шестора.
br-00-99-brojni-pridevi-146	Деведесет седмора.
br-00-99-brojni-pridevi-147	Деведесет осмора.
br-00-99-brojni-pridevi-148	Деведесет деветора.
br-00-99-brojni-pridevi-149	Деведесет и двоја.
br-00-99-brojni-pridevi-150	Деведесет и троја.
br-00-99-brojni-pridevi-151	Деведесет и четвора.
br-00-99-brojni-pridevi-152	Деведесет и петора.
br-00-99-brojni-pridevi-153	Деведесет и шестора.
br-00-99-brojni-pridevi-154	Деведесет и седмора.
br-00-99-brojni-pridevi-155	Деведесет и осмора.
br-00-99-brojni-pridevi-156	Деведесет и деветора.
